species_code,species_name,species_latin
027,Bluntnose Sixgill Shark,Hexanchus griseus
044,North Pacific Spiny Dogfish,Squalus suckleyi
056,Big Skate,Beringraja binoculata
059,Longnose Skate,Raja rhina
066,Spotted Ratfish,Hydrolagus colliei
222,Pacific Cod,Gadus macrocephalus
228,Walleye Pollock,Gadus chalcogrammus
407,Copper Rockfish,Sebastes caurinus
414,Greenstriped Rockfish,Sebastes elongatus
418,Yellowtail Rockfish,Sebastes flavidus
424,Quillback Rockfish,Sebastes maliger
437,Canary Rockfish,Sebastes pinniger
442,Yelloweye Rockfish,Sebastes ruberrimus
455,Sablefish,Anoplopoma fimbria
461,Kelp Greenling,Hexagrammos decagrammus
467,Lingcod,Ophiodon elongatus
502,Red Irish Lord,Hemilepidotus hemilepidotus
518,Pacific Staghorn Sculpin,Leptocottus armatus
540,Cabezon,Scorpaenichthys marmoratus
596,Pacific Sanddab,Citharichthys sordidus
614,Pacific Halibut,Hippoglossus stenolepis
621,Southern Rock Sole,Lepidopsetta bilineata
2A0,Sponges,Porifera
2I0,Glass Sponges,Hexactinellida
3L0,Anemone,Actiniaria
3U2,Sea Whip,Balticina septentrionalis
3UH,,Swiftia
4HC,Mud Star,Ctenodiscus crispatus
4XE,Sunflower Starfish,Pycnopodia helianthoides
4XF,Fish-Eating Star,Stylasterias forreri
4ZC,Pink Short-Spined Star,Pisaster brevispinus
5AE,Basket Star,Gorgonocephalus eucnemis
65G,,Mytilus
HOE,Giant Barnacle,Balanus nubilis
